setup_id,cash_log_id,weights,prediction_type,predicted_variant,recommended_algorithm,chosen_config_hash,n_train_instances,real_score,full_best_score,full_worst_score,action_best_score,action_worst_score,regret_full,regret_action,accuracy_full,accuracy_action,rank_full,rank_action,n_full_configs,n_action_configs,predicted_composite
B0_apdtm_cls_apdtm_features_original,bpi2013_open_problems,mix-simp,variant,IM,inductive_miner_im,16728b2313b05e00,801,0.8542477450712869,0.8823839323945362,0.0,0.8823839323945362,0.7322580424149691,0.0281361873232492,0.0281361873232492,0.9681134409973948,0.812582710902971,13,2,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2013_open_problems,mix-gen,variant,IM,inductive_miner_im,16728b2313b05e00,801,0.8623416439887276,0.9253321454132266,0.0,0.9003300715017378,0.823835292661598,0.062990501424499,0.0379884275130102,0.931926604153183,0.5033853540200546,50,2,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2017,equal,variant,AM,alpha_miner_classic,9a9cd65c1066e3fa,801,0.5001675983519174,0.8802301190425359,0.0,0.7897159833979309,0.5001675983519174,0.3800625206906185,0.2895483850460135,0.5682236809801182,0.0,176,5,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2017,fitn,variant,AM,alpha_miner_classic,9a9cd65c1066e3fa,801,0.495774473479623,1.0,0.0,1.0,0.495774473479623,0.504225526520377,0.504225526520377,0.495774473479623,0.0,176,5,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2017,prec,variant,AM,alpha_miner_classic,9a9cd65c1066e3fa,801,0.1259019512485154,0.9982184707429071,0.0,0.9977548056712652,0.1259019512485154,0.8723165194943918,0.8718528544227497,0.1261266495648142,0.0,176,5,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2017,gene,variant,AM,alpha_miner_classic,9a9cd65c1066e3fa,801,0.9869939686795314,0.99095165942404,0.0,0.988416241415834,0.8436482021383097,0.0039576907445085,0.0014222727363025,0.9960061717371674,0.9901755059790784,19,2,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2017,simp,variant,AM,alpha_miner_classic,9a9cd65c1066e3fa,801,0.392,0.7701149425287357,0.0,0.6170212765957447,0.392,0.3781149425287357,0.2250212765957446,0.5090149253731343,0.0,165,5,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2017,fit+pre,variant,AM,alpha_miner_classic,9a9cd65c1066e3fa,801,0.3108382123640691,0.9550451175767803,0.0,0.9168671249859665,0.3108382123640691,0.6442069052127113,0.6060289126218972,0.3254696627869829,0.0,176,5,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2017,fit+gen,variant,AM,alpha_miner_classic,9a9cd65c1066e3fa,801,0.7413842210795771,0.9949668505231788,0.0,0.994208120707917,0.7413842210795771,0.2535826294436016,0.2528238996283398,0.7451345948759384,0.0,170,5,196,5,
B0_apdtm_cls_apdtm_features_original,bpi2017,fit+sim,variant,AM,alpha_miner_classic,9a9cd65c1066e3fa,801,0.4438872367398115,0.8402404432249244,0.0,0.8085106382978724,0.4438872367398115,0.3963532064851129,0.3646234015580609,0.5282859689973136,0.0,176,5,196,5,
