setup_id,weights,n_logs,mean_accuracy_full
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,prec,18,0.6394506776863116
C2_cash_reg_cash_features_cash_full_clean_apdtm5_default,simp,18,0.6652846421148518
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,equal,18,0.94523108632721
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,fit+gen,18,0.9837374961358751
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,fit+pre,18,0.9550099466355232
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,fit+sim,18,0.920622011856895
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,fitn,18,0.9954295747851543
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,gen+sim,18,0.8894679852155404
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,gene,18,0.9645969553867142
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,mix-fit,18,0.9631537049824609
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,mix-gen,18,0.9318131594777702
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,mix-prec,18,0.9485476785602146
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,mix-simp,18,0.9354070164678898
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,pre+gen,18,0.9406382703851275
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,pre+sim,18,0.8660376966417405
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,prec,18,0.8914693827936316
C3_cash_reg_cash_features_cash_full_clean_apdtm5_hparams,simp,18,0.761889168429393
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,equal,18,0.8170949926144189
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,fit+gen,18,0.971214238351036
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,fit+pre,18,0.8283503618076363
C4_cash_reg_cash_features_cash_full_clean_all_algos_default,fit+sim,18,0.9042912652281324
