log,variant,status,error_type,error_message,discovery_time,fitness_time,precision_time,generalization_time,simplicity_time,log_fitness,precision,generalization,simplicity
bpic15_2,IM,error,RecursionError,maximum recursion depth exceeded,,,,,,,,,
bpic15_2,IMf,error,RecursionError,maximum recursion depth exceeded,,,,,,,,,
bpic15_2,IMd,ok,,,0.4697120189666748,5.4544899463653564,236.98343300819397,5.920655012130737,0.0001780986785888672,1.0,0.004746681184411461,0.630479323366272,0.3482786228983187
bpic15_4,HM,ok,,,4.257278919219971,75.49378800392151,226.84964299201965,78.28249502182007,0.0007662773132324219,0.8159644776866415,0.6456355135682268,0.4574942132976124,0.45604308569618246
bpic15_4,IM,error,RecursionError,maximum recursion depth exceeded,,,,,,,,,
bpic15_4,IMf,error,RecursionError,maximum recursion depth exceeded,,,,,,,,,
bpic15_4,IMd,ok,,,0.4120509624481201,5.786454916000366,179.32227897644043,5.638566017150879,0.00012421607971191406,1.0,0.006367719472351485,0.6484303825122886,0.34701492537313433
bpi2013_incidents,AM,ok,,,0.03482699394226074,0.40825605392456055,0.8890111446380615,0.35480332374572754,3.886222839355469e-05,0.22611676593403518,0.6000158860441103,0.8824986163548602,1.0
bpi2013_incidents,HM,ok,,,0.08244109153747559,0.5793859958648682,5.229136943817139,0.6251950263977051,4.506111145019531e-05,0.995809115517265,0.8850810072924525,0.9024161645591694,0.6216216216216216
bpi2013_incidents,IM,ok,,,0.041761159896850586,0.8097920417785645,8.419564962387085,0.8135550022125244,4.887580871582031e-05,1.0,0.6258308214735396,0.871132170779936,0.6666666666666666
bpi2013_incidents,IMf,ok,,,0.09401822090148926,0.8079159259796143,8.568302869796753,0.7460501194000244,4.7206878662109375e-05,1.0,0.6258308214735396,0.871132170779936,0.6666666666666666
bpi2013_incidents,IMd,ok,,,0.027400732040405273,0.6335291862487793,6.194797992706299,0.6581652164459229,4.100799560546875e-05,1.0,0.6257305479681992,0.9374222306098524,0.6842105263157894
bpic15_1,HM,ok,,,7.786202907562256,170.8292510509491,234.45819401741028,170.56263494491577,0.000904083251953125,0.7794294558144794,0.8054358237547893,0.4136943851372237,0.4338599386937043
bpic15_1,IM,error,RecursionError,maximum recursion depth exceeded,,,,,,,,,
bpic15_1,IMf,error,RecursionError,maximum recursion depth exceeded,,,,,,,,,
bpic15_1,IMd,ok,,,0.4686238765716553,6.388241291046143,208.43066596984863,6.120763063430786,0.00026297569274902344,1.0,0.005514408325209774,0.6526451647517064,0.3444537114261885
bpic15_5,HM,ok,,,7.2269909381866455,241.82869505882263,246.60271883010864,241.44902300834656,0.0008771419525146484,0.7750071136686701,0.8392487485415334,0.4091103612477659,0.4323386537126995
bpic15_5,IM,error,RecursionError,maximum recursion depth exceeded,,,,,,,,,
bpic15_5,IMf,error,RecursionError,maximum recursion depth exceeded,,,,,,,,,
bpic15_5,IMd,ok,,,0.2862861156463623,6.853358268737793,235.6302788257599,6.794512033462524,0.0001270771026611328,1.0,0.005075601240153382,0.6480339787897107,0.3390119250425894
bpic15_3,HM,ok,,,8.282202005386353,179.91075801849365,256.52943301200867,179.46058416366577,0.0010256767272949219,0.8164989901762658,0.9138866286954164,0.39219369634957335,0.42901166629980186
bpic15_3,IM,error,RecursionError,maximum recursion depth exceeded,,,,,,,,,
bpic15_3,IMf,error,RecursionError,maximum recursion depth exceeded,,,,,,,,,
bpic15_3,IMd,ok,,,0.4554629325866699,6.8522727489471436,212.824383020401,6.764837265014648,0.00012683868408203125,1.0,0.005646098127272237,0.6755746197508381,0.3436960276338515
bpi2012,AM,ok,,,0.08256697654724121,2.3779830932617188,26.821430921554565,2.2844831943511963,9.179115295410156e-05,0.5586479208127507,0.10502453133720147,0.9735932409545103,0.9444444444444446
bpi2012,HM,ok,,,0.2647542953491211,6.911653757095337,67.76415014266968,6.898633003234863,7.295608520507812e-05,0.9722098545268516,0.31220890274300683,0.9270289524197695,0.5648148148148148
bpi2012,IM,ok,,,6.098282098770142,26.691943168640137,84.92107701301575,26.989700078964233,7.82012939453125e-05,0.973429613099393,0.12905195828600968,0.9475973827083886,0.6111111111111112
bpi2012,IMf,ok,,,6.102107763290405,27.047876119613647,85.84671401977539,27.177923917770386,7.82012939453125e-05,0.973429613099393,0.12905195828600968,0.9475973827083886,0.6111111111111112
bpi2012,IMd,ok,,,0.13662099838256836,4.169111967086792,66.32817578315735,4.286330223083496,4.982948303222656e-05,1.0,0.09902857889615624,0.9760531293491549,0.43999999999999995
